gene,term
AACS,generic_metabolism
AADAT,generic_metabolism
AASS,generic_metabolism
ABAT,generic_metabolism
ABCA1,generic_metabolism
ABCC5,generic_metabolism
AC093512.2,generic_metabolism
ACAA2,generic_metabolism
ACAD8,generic_metabolism
ACADM,generic_metabolism
ACADSB,generic_metabolism
ACAT1,generic_metabolism
ACAT2,generic_metabolism
ACE2,generic_metabolism
ACLY,generic_metabolism
ACMSD,generic_metabolism
ACO1,generic_metabolism
ACO2,generic_metabolism
ACOT12,generic_metabolism
ACSS1,generic_metabolism
ACSS2,generic_metabolism
ACYP1,generic_metabolism
ACYP2,generic_metabolism
ADH1A,generic_metabolism
ADH1B,generic_metabolism
ADH1C,generic_metabolism
ADH4,generic_metabolism
ADH5,generic_metabolism
ADH6,generic_metabolism
ADH7,generic_metabolism
ADHFE1,generic_metabolism
ADK,generic_metabolism
ADSL,generic_metabolism
ADSS,generic_metabolism
AFMID,generic_metabolism
AGXT2,generic_metabolism
AHCY,generic_metabolism
AHCYL1,generic_metabolism
AKR1A1,generic_metabolism
AKR1B1,generic_metabolism
AKR7A2,generic_metabolism
ALDH18A1,generic_metabolism
ALDH1A1,generic_metabolism
ALDH1A2,generic_metabolism
ALDH1A3,generic_metabolism
ALDH1B1,generic_metabolism
ALDH1L1,generic_metabolism
ALDH1L2,generic_metabolism
ALDH2,generic_metabolism
ALDH3A1,generic_metabolism
ALDH3A2,generic_metabolism
ALDH3B1,generic_metabolism
ALDH3B2,generic_metabolism
ALDH4A1,generic_metabolism
ALDH5A1,generic_metabolism
ALDH7A1,generic_metabolism
ALDH9A1,generic_metabolism
ALDOB,generic_metabolism
ALDOC,generic_metabolism
AMDHD1,generic_metabolism
AMT,generic_metabolism
AOC1,generic_metabolism
AOC2,generic_metabolism
AOC3,generic_metabolism
AQP9,generic_metabolism
ARG1,generic_metabolism
ARG2,generic_metabolism
ASL,generic_metabolism
ASNS,generic_metabolism
ASPG,generic_metabolism
ASS1,generic_metabolism
ATP10A,generic_metabolism
ATP8A1,generic_metabolism
AUH,generic_metabolism
BCAT1,generic_metabolism
BCAT2,generic_metabolism
BHMT,generic_metabolism
BHMT2,generic_metabolism
BPGM,generic_metabolism
BSG,generic_metabolism
CA1,generic_metabolism
CA12,generic_metabolism
CA13,generic_metabolism
CA14,generic_metabolism
CA2,generic_metabolism
CA3,generic_metabolism
CA4,generic_metabolism
CA6,generic_metabolism
CA7,generic_metabolism
CA9,generic_metabolism
CAD,generic_metabolism
CBS,generic_metabolism
CDO1,generic_metabolism
CHDH,generic_metabolism
CKB,generic_metabolism
CKM,generic_metabolism
CKMT1A,generic_metabolism
CKMT1B,generic_metabolism
CKMT2,generic_metabolism
CLYBL,generic_metabolism
CPS1,generic_metabolism
CS,generic_metabolism
CTH,generic_metabolism
CTPS1,generic_metabolism
CTPS2,generic_metabolism
CYB5D1,generic_metabolism
CYP27A1,generic_metabolism
CYP2E1,generic_metabolism
DCXR,generic_metabolism
DDC,generic_metabolism
DMGDH,generic_metabolism
DUOX1,generic_metabolism
DUOX2,generic_metabolism
ECHS1,generic_metabolism
EHHADH,generic_metabolism
ENO1,generic_metabolism
ENO2,generic_metabolism
ENO3,generic_metabolism
ENTPD1,generic_metabolism
ENTPD3,generic_metabolism
ENTPD8,generic_metabolism
ETNPPL,generic_metabolism
FAH,generic_metabolism
FBP1,generic_metabolism
FBP2,generic_metabolism
FH,generic_metabolism
FOLR1,generic_metabolism
FOLR3,generic_metabolism
FTCD,generic_metabolism
G6PC,generic_metabolism
G6PC2,generic_metabolism
G6PC3,generic_metabolism
G6PD,generic_metabolism
GAD1,generic_metabolism
GAD2,generic_metabolism
GAMT,generic_metabolism
GAPDH,generic_metabolism
GAPDHS,generic_metabolism
GATM,generic_metabolism
GCAT,generic_metabolism
GCDH,generic_metabolism
GCK,generic_metabolism
GFPT1,generic_metabolism
GFPT2,generic_metabolism
GLS,generic_metabolism
GLS2,generic_metabolism
GLUD1,generic_metabolism
GLUD2,generic_metabolism
GLUL,generic_metabolism
GMPS,generic_metabolism
GNMT,generic_metabolism
GNPDA1,generic_metabolism
GNPDA2,generic_metabolism
GOT1,generic_metabolism
GOT2,generic_metabolism
GPD1,generic_metabolism
GPD2,generic_metabolism
GPI,generic_metabolism
GPT,generic_metabolism
GPT2,generic_metabolism
GPX1,generic_metabolism
GPX2,generic_metabolism
GPX4,generic_metabolism
GSR,generic_metabolism
GSS,generic_metabolism
GSTZ1,generic_metabolism
H6PD,generic_metabolism
HAAO,generic_metabolism
HADH,generic_metabolism
HADHB,generic_metabolism
HAL,generic_metabolism
HDC,generic_metabolism
HGD,generic_metabolism
HIBADH,generic_metabolism
HK1,generic_metabolism
HK2,generic_metabolism
HK3,generic_metabolism
HKDC1,generic_metabolism
HMGCL,generic_metabolism
HMGCLL1,generic_metabolism
HMGCS2,generic_metabolism
HPD,generic_metabolism
HSD17B10,generic_metabolism
IDH1,generic_metabolism
IDH2,generic_metabolism
IDO1,generic_metabolism
IDO2,generic_metabolism
IREB2,generic_metabolism
IVD,generic_metabolism
KMO,generic_metabolism
KYAT1,generic_metabolism
KYNU,generic_metabolism
LDHA,generic_metabolism
LDHAL6A,generic_metabolism
LDHAL6B,generic_metabolism
LDHB,generic_metabolism
LDHC,generic_metabolism
LGSN,generic_metabolism
LHPP,generic_metabolism
MAT1A,generic_metabolism
MCEE,generic_metabolism
MDH1,generic_metabolism
MDH1B,generic_metabolism
MDH2,generic_metabolism
ME1,generic_metabolism
ME2,generic_metabolism
ME3,generic_metabolism
MIA3,generic_metabolism
MTHFD1,generic_metabolism
MTHFD2,generic_metabolism
MTHFD2L,generic_metabolism
MTHFD2P1,generic_metabolism
MTHFR,generic_metabolism
MTR,generic_metabolism
MUT,generic_metabolism
NIT2,generic_metabolism
NNT,generic_metabolism
NOS2,generic_metabolism
NT5C,generic_metabolism
NT5C1A,generic_metabolism
NT5C1B,generic_metabolism
NT5C2,generic_metabolism
NT5C3A,generic_metabolism
OAT,generic_metabolism
ODC1,generic_metabolism
OTC,generic_metabolism
PAH,generic_metabolism
PAICS,generic_metabolism
PC,generic_metabolism
PCK1,generic_metabolism
PCK2,generic_metabolism
PFAS,generic_metabolism
PFKL,generic_metabolism
PFKM,generic_metabolism
PFKP,generic_metabolism
PGAM1,generic_metabolism
PGAM2,generic_metabolism
PGD,generic_metabolism
PGK1,generic_metabolism
PGK2,generic_metabolism
PGLS,generic_metabolism
PHGDH,generic_metabolism
PKLR,generic_metabolism
PKM,generic_metabolism
PPA1,generic_metabolism
PPA2,generic_metabolism
PPAT,generic_metabolism
PRDX1,generic_metabolism
PRDX2,generic_metabolism
PRDX3,generic_metabolism
PRODH,generic_metabolism
PRODH2,generic_metabolism
PRPS1,generic_metabolism
PRPS1L1,generic_metabolism
PRPS2,generic_metabolism
PSAT1,generic_metabolism
PSPH,generic_metabolism
PYCR1,generic_metabolism
PYCR2,generic_metabolism
PYCR3,generic_metabolism
QDPR,generic_metabolism
RPE,generic_metabolism
RPIA,generic_metabolism
RWDD2A,generic_metabolism
SARDH,generic_metabolism
SDS,generic_metabolism
SDSL,generic_metabolism
SHMT1,generic_metabolism
SHMT2,generic_metabolism
SMS,generic_metabolism
SRM,generic_metabolism
SUCLA2,generic_metabolism
SUOX,generic_metabolism
TALDO1,generic_metabolism
TAT,generic_metabolism
TDO2,generic_metabolism
TKT,generic_metabolism
TKTL1,generic_metabolism
TKTL2,generic_metabolism
TPI1,generic_metabolism
TPI1P2,generic_metabolism
UEVLD,generic_metabolism
UROC1,generic_metabolism
ZADH2,generic_metabolism
